Epoch,Total Loss
1,0.12220562916272969
2,0.11477444317021351
3,0.10711314858262211
4,0.09969071428062096
5,0.0934910949816308
6,0.0879915639501534
7,0.08305241906043678
8,0.07866326068371332
9,0.07471821720192624
10,0.07114186415955698
11,0.06788913075158676
12,0.0649233970529304
13,0.06220133268341377
14,0.0596927671992659
15,0.057387092357883654
16,0.055271620141471765
17,0.053332914039527404
18,0.05155688587859196
19,0.049923454373988554
20,0.048404893686935596
21,0.0470128176358236
22,0.04573470615139111
23,0.04455732627979736
24,0.04347310776017385
25,0.042476269544922056
26,0.04154930306007614
27,0.040695628419564485
28,0.039956732799477215
29,0.03950649166938039
30,0.0394642405089491
31,0.03871836734691855
32,0.03800312137960066
33,0.037702249413092574
34,0.03701025306905671
35,0.03666100299976129
36,0.03616732201039848
37,0.035810265346951815
38,0.03546483269704406
39,0.03514835315514151
40,0.03487936337927547
41,0.03491921400827885
42,0.03585211788745219
43,0.040158244312627184
44,0.03644089684194912
45,0.03648037497656746
46,0.0361624035460959
47,0.035563761062138224
48,0.035263813536586905
49,0.03502291838531598
50,0.0348199541917734
